CLM_NBR, CLM_BR_NBR_OLD, CLM_BR_NBR_NEW
387533004,  27825031, 28831006
387533003,  28496465, 28831004
387533002,  28431589, 28831003
387533001,  28387255, 28831002
387533000,  28353554, 28830997
387329133,  28829367, 28830884
387533012,  26648468, 28831019
387533013,  28208893, 28831022
387533015,  28198509, 28831024
387533016,  27680801, 28831025
387533017,  28185805, 28831027
387533038,  28186047, 28831064
387533037,  27170283, 28831062
387533036,  27176807, 28831060
387533035,  26595581, 28831059
387533034,  27527993, 28831058
387533031,  27885306, 28831056
387533030,  26943515, 28831055
387533029,  27423504, 28831052
387533028,  27801877, 28831051
387533027,  28088870, 28831050
387533026,  27950996, 28831049
387533025,  28037428, 28831042
387533023,  28037737, 28831041
387533022,  27583590, 28831036
387533020,  28095012, 28831035
387533019,  27990489, 28831034
387533018,  27772588, 28831026
387533039,  28178870, 28831070
387533041,  26269330, 28831075
387533042,  26066532, 28831076
387533043,  27241135, 28831077
387533046,  27000032, 28831081
387533044,  27350121, 28831079
387533045,  27286109, 28831080
387533047,  27022163, 28831082
387533056,  28030303, 28831096
387533048,  27649516, 28831083
387533055,  28012564, 28831093
387533053,  26367930, 28831089
387533052,  27715210, 28831088
387533049,  26633965, 28831084
387533057,  26887779, 28831099
387533072,  27710335, 28831118
387533058,  27412958, 28831100
387533060,  26873430, 28831103
387533062,  26641920, 28831104
387533105,  27896707, 28831174
387533104,  28041509, 28831171
387533103,  28025732, 28831170
387533102,  27714210, 28831169
387533064,  27346243, 28831105
387533100,  27839942, 28831164
387533099,  27223799, 28831163
387533098,  28195815, 28831162
387533095,  27839310, 28831156
387533065,  27229434, 28831108
387533066,  27595387, 28831109
387533094,  28006438, 28831155
387533093,  26784940, 28831150
387533091,  27714396, 28831148
387533090,  27821684, 28831147
387533087,  27874774, 28831145
387533086,  27709492, 28831144
387533082,  27786031, 28831139
387533067,  27975457, 28831110
387533069,  27494455, 28831112
387533084,  26867061, 28831140
387533083,  28420067, 28831141
387533080,  28332108, 28831135
387533079,  28345533, 28831134
387533078,  27956957, 28831132
387533070,  28360609, 28831113
387533071,  25503721, 28831114
387533077,  26873352, 28831129
387533075,  28090559, 28831126
387533073,  27066488, 28831121
387533106,  27981457, 28831175
387533110,  26031300, 28831181
387533109,  27646363, 28831180
387533107,  27150211, 28831176
387533111,  27301875, 28831184
387533112,  28185106, 28831186
387533113,  28187418, 28831189
387533114,  27138079, 28831190
387533116,  27472299, 28831191
387533117,  27859270, 28831193
387533157,  28199369, 28831264
387533156,  27905948, 28831261
387533119,  27668367, 28831195
387533120,  27284288, 28831197
387533155,  27908020, 28831260
387533154,  27810591, 28831257
387533152,  27777184, 28831254
387533121,  26278219, 28831198
387533122,  27780863, 28831199
387533151,  25617143, 28831253
387533150,  28184480, 28831251
387533137,  27949189, 28831223
387533136,  27978547, 28831220
387533135,  27803681, 28831218
387533134,  27770922, 28831216
387533133,  28190583, 28831215
387533123,  28349252, 28831202
387533131,  28037977, 28831213
387533130,  27826163, 28831214
387533129,  27627809, 28831208
387533126,  27922468, 28831204
387533125,  28219622, 28831205
387533139,  27960112, 28831229
387533140,  27902092, 28831230
387533170,  27947919, 28831294
387533169,  27948354, 28831293
387533168,  27940150, 28831292
387533167,  28303710, 28831290
387533166,  27834802, 28831289
387533165,  26488358, 28831288
387533138,  27954577, 28831222
387533141,  27615136, 28831233
387533142,  27781245, 28831237
387533164,  27735862, 28831286
387533144,  27785806, 28831240
387533163,  28365778, 28831282
387533162,  27622959, 28831281
387533161,  27960233, 28831277
387533145,  27882873, 28831239
387533147,  28073604, 28831246
387533160,  28370553, 28831275
387533149,  27692913, 28831247
387533148,  27615223, 28831245
387533159,  27962649, 28831266
387533158,  27970035, 28831268
387533172,  28130180, 28831298
387533173,  27939658, 28831299
387533175,  26806511, 28831302
387533176,  28118144, 28831303
387533177,  27777934, 28831304
387533200,  27626026, 28831347
387533199,  27987707, 28831345
387533197,  28170180, 28831342
387533179,  28123108, 28831309
387533196,  28204420, 28831341
387533195,  27647473, 28831340
387533194,  27318377, 28831337
387533193,  27886051, 28831334
387533192,  28439168, 28831333
387533180,  28483433, 28831311
387533181,  28061071, 28831312
387533183,  26892801, 28831314
387533191,  26858438, 28831328
387533190,  28820733, 28831324
387533189,  26465453, 28831321
387533187,  28127026, 28831319
387533185,  28439024, 28831318
387533184,  28010148, 28831317
387533198,  27829629, 28831343
387533210,  28530595, 28831360
387533201,  27724923, 28831350
387329140,  28558264, 28831352
387533229,  26542028, 28831388
387533202,  28654898, 28831351
387533206,  23650455, 28831353
387533207,  28819900, 28831355
387533227,  25333008, 28831387
387533226,  27005241, 28831385
387533222,  28663954, 28831379
387533208,  27964292, 28831356
387533220,  28699019, 28831372
387533219,  28582132, 28831371
387533217,  28064646, 28831369
387533209,  27318614, 28831359
387533216,  27783043, 28831364
387533215,  28411535, 28831363
387533214,  27865690, 28831362
387339079,  28579324, 28831692
387329168,  28558310, 28832526
387534007,  26204304, 28832800
387534006,  27563937, 28832799
387534004,  27151927, 28832795
387534003,  25398096, 28832793
387534002,  27045662, 28832789
387534001,  27949840, 28832785
387534000,  25737987, 28832783
387329159,  28558291, 28832726
387534019,  27499685, 28832826
387534017,  27588650, 28832823
387534016,  27588869, 28832816
387534015,  27502590, 28832813
387534012,  27621950, 28832806
387534011,  27383426, 28832807
387534010,  27195213, 28832805
387534008,  26935241, 28832804
387534020,  27584382, 28832829
387534021,  27578018, 28832831
387534024,  27195871, 28832834
387534022,  27658558, 28832832
387534025,  27666640, 28832828
387534044,  24243638, 28832878
387534043,  26106083, 28832875
387534042,  27578748, 28832874
387534040,  27574294, 28832873
387534039,  27051167, 28832864
387534038,  26738121, 28832860
387534036,  27475934, 28832859
387534035,  25290003, 28832857
387534033,  27546339, 28832855
387534032,  26350717, 28832854
387534031,  27562804, 28832853
387534030,  27562893, 28832852
387534029,  27648078, 28832850
387534027,  26116560, 28832848
387534026,  27419676, 28832847
387534060,  26416111, 28832909
387534059,  27260881, 28832910
387534058,  27214978, 28832908
387534057,  27660868, 28832907
387534056,  27586362, 28832902
387534055,  26928812, 28832901
387534054,  27661440, 28832900
387534053,  27392995, 28832897
387534052,  25380239, 28832898
387534051,  27443288, 28832896
387534050,  26906367, 28832895
387534049,  27555500, 28832891
387534048,  26904696, 28832889
387534046,  24345017, 28832881
387534047,  27487905, 28832882
387534045,  27315729, 28832866
387534078,  27023532, 28832952
387534077,  27217081, 28832942
387534076,  26201906, 28832943
387534075,  26671847, 28832940
387534074,  27679660, 28832924
387534073,  27320729, 28832936
387534072,  25419484, 28832934
387534071,  27381726, 28832933
